appid,name,missing_fields,source_appdetails,source_html_fallback
4588700,Monster Girls: You Can't Say No 🔞,"price_twd_original,review_count",True,False
4594450,Futa Heim,"price_twd_original,review_count",True,False
4140970,Seedbond,"price_twd_original,review_count",True,False
3552720,Lustwick Duchy,"price_twd_original,release_date,review_count",True,False
3155980,Stranded & Naked,"price_twd_original,release_date,review_count",True,False
4090260,救生員狂熱,"price_twd_original,release_date,review_count",True,False
1812870,Adult Film Maker,"price_twd_original,review_count",True,False
2417030,Potential,"price_twd_original,review_count",True,False
3124190,The Spellbook,"price_twd_original,release_date,review_count",True,False
4186160,Naughty Doug,"price_twd_original,review_count",True,False
1061280,Plastic Love,"price_twd_original,release_date,review_count",True,False
3950220,Hentai Pirates Survivors,"price_twd_original,review_count",True,False
1549830,CyberPunk SEX Tower,"price_twd_original,review_count",True,False
1316220,Rock Star Simulator,"price_twd_original,review_count",True,False
2491300,Spire of Lust & Fetish,"price_twd_original,review_count",True,False
3668440,Darkness and Desire,"price_twd_original,review_count",True,False
3586810,[red7cat] ElfWork,"price_twd_original,review_count",True,False
3353880,What a Legend!,"price_twd_original,release_date,review_count",True,False
4071430,女冒險者的調教術,"price_twd_original,review_count",True,False
4027010,Lewd Remedy,"price_twd_original,review_count",True,False
3192280,密室遊戲決鬥～今天誰會買走我的女友～,"price_twd_original,release_date,review_count",True,False
4400750,Cerulean Invasion: Aftermath,"price_twd_original,release_date,review_count",True,False
685560,Arenus,"price_twd_original,review_count",True,False
4456750,After Hours: Lines of Desire - S1,"price_twd_original,review_count",True,False
3942590,Race of Life - Act 2,"price_twd_original,review_count",True,False
4132480,Guilty Pleasures,"price_twd_original,review_count",True,False
4135490,College Roommates 👩‍🎓,"price_twd_original,review_count",True,False
4036260,Sun City - Episode 2,"price_twd_original,release_date,review_count",True,False
4280130,"SEX, SIN & ROCK'N'ROLL 🤘🎸","price_twd_original,review_count",True,False
4216930,Wicked Ways,"price_twd_original,review_count",True,False
3719000,Dominated by Sadistic Rich Bully Trio,review_count,True,False
4323800,關守神,"price_twd_original,review_count",True,False
4402320,Villainess Trainer,"price_twd_original,review_count",True,False
927740,Cosmic Crush,"price_twd_original,review_count",True,False
4602300,"Next Girl, Please 🎬","price_twd_original,release_date,review_count",True,False
3301610,Streamer Manager Simulator 💖,"price_twd_original,review_count",True,False
3979940,FURRY Uranus PENETRATOR,"price_twd_original,review_count",True,False
2198430,Space Slaves,"price_twd_original,review_count",True,False
2860810,Decked in Love,"price_twd_original,release_date,review_count",True,False
4395010,惡魔摸摸！,"price_twd_original,review_count",True,False
3271540,Sexy Clicker,"price_twd_original,review_count",True,False
3914190,My Hot Goth Roommate Became My Goonmate,review_count,True,False
4159920,My Giant Sexy Sensei Bullies Me 10,review_count,True,False
4357110,Japanese Mature: Sex Dreams,"price_twd_original,review_count",True,False
4571220,Hentai Tales: Summoned - Entrusted with the Elves,"price_twd_original,review_count",True,False
4314240,OnlyVans,"price_twd_original,review_count",True,False
4327690,~調教女鬼~ 淨化巨乳地縛靈,"price_twd_original,review_count",True,False
4185490,Lust at Office,"price_twd_original,review_count",True,False
4212910,Space Romance 🌌,"price_twd_original,release_date,review_count",True,False
3408630,the Changing Prisoner's Dilemma,"price_twd_original,review_count",True,False
3305840,精靈之心的守護者,"price_twd_original,review_count",True,False
4121180,Frozen Heart,"price_twd_original,review_count",True,False
4147190,Risky Business,"price_twd_original,review_count",True,False
4219400,璀璨時刻～與女同事曖昧不清的親密關係～,"price_twd_original,review_count",True,False
4242290,"SPITE: Taking the Boss's Wife, Sister and Mother","price_twd_original,review_count",True,False
4035360,"Femdom Girlfriend 6: Selene, the Mega-Bitch",review_count,True,False
4054800,Femdom Girlfriend 7: Big-Breasted Bully,review_count,True,False
